Symbol,Series,LTP,%change,52W High,Prev 52W High,52W High Date,Volume,Value
AAREYDRUGS,EQ,102.23,0.5013763271726307,103.5,102.96,17-Sep-2026,,
ACE,EQ,1216.3,0.8875248838752489,1241.5,1213.2,17-Sep-2026,,
ACMESOLAR,EQ,429.8,4.4979333819596405,434.9,430.5,04-Sep-2026,,
ACSTECH,EQ,66.15,5,66.15,63,17-Sep-2026,,
AHCL,EQ,23.13,5.906593406593407,24.78,22.94,15-Sep-2026,,
ALGOQUANT,EQ,72.25,3.022957364893769,76.2,71.85,17-Sep-2026,,
ALUFLUOR,EQ,537.45,9.19341731003657,542.5,509.9,02-Sep-2026,,
ANANDRATHI,EQ,2244,1.6580592552324,2268.4,2255,07-Sep-2026,,
APARINDS,EQ,18586,4.409864614347509,18599,18465,12-Aug-2026,,
APOORVA,EQ,31.1,4.53781512605042,31.2,29.75,17-Sep-2026,,
ASTAR,EQ,807.35,19.998513674197383,807.35,723,13-May-2026,,
AVALON,EQ,2430.1,8.973094170403588,2479.8,2424,07-Sep-2026,,
BHAGYANGR,EQ,443.35,-0.7054871220604704,467.9,446.5,17-Sep-2026,,
BIRLACABLE,EQ,410.45,2.1909622805925557,418.8,411.95,15-Sep-2026,,
BODALCHEM,EQ,191.23,4.996431120628123,191.23,189.68,09-Sep-2026,,
CONFIPET,EQ,92.09,6.143384047948364,92.61,91.65,15-Sep-2026,,
CPCAP,EQ,145.41,3.091102445941156,152,144.4,19-Sep-2025,,
CSM,EQ,106.82,4.072486360093531,114.9,113,02-Jul-2026,,
DICIND,EQ,631.45,0.4773649455008354,642,638.95,04-Sep-2026,,
DSKULKARNI,EQ,22.71,1.9757521329142345,22.71,22.27,17-Sep-2026,,
EMIL,EQ,198.48,7.245906954125466,202.86,196.74,13-Aug-2026,,
FILATEX,EQ,92.78,2.6895406751521858,94,91.9,17-Sep-2026,,
GCSL,EQ,619,4.147387902750904,619.95,616.9,10-Sep-2026,,
GFSTEELS,EQ,25.44,4.993809327280231,25.44,24.23,17-Sep-2026,,
GKSL,EQ,181.53,2.0863794848723427,186,183.05,15-Sep-2026,,
GLASSWALL,EQ,262.65,1.8734000465441005,304.2,257.82,17-Sep-2026,,
GMMPFAUDLR,EQ,1460,7.085228106205076,1470,1384.8,15-Sep-2026,,
GOCLCORP,EQ,442.95,-2.8937849391647483,461.4,459.9,22-Jun-2026,,
GRAUWEIL,EQ,86.27,9.078265267416867,88.53,87.4,02-Jul-2026,,
INDOKEM,EQ,630.55,-1.9591075176863872,668,666.9,17-Sep-2026,,
INDOMIM,EQ,1056.8,6.403544099879179,1060,1028.5,10-Sep-2026,,
JYOTICNC,EQ,1052.65,7.320181475251058,1065,1058.85,08-Sep-2026,,
KAMDHENU,EQ,41.05,4.987212276214834,41.05,40.95,08-Sep-2026,,
KARAMTARA,EQ,358.45,1.8323863636363635,377.9,352,17-Sep-2026,,
KISSHT,EQ,357.45,-0.6945409084595082,373,366.8,17-Sep-2026,,
KOPRAN,EQ,276.99,3.127443315089914,282.1,274.78,16-Sep-2026,,
KROSS,EQ,240.88,-0.48337120429663294,248.77,243.8,17-Sep-2026,,
LAURUSLABS,EQ,1971.3,1.1909039577023768,1982,1981.8,11-Sep-2026,,
LENSKART,EQ,697.2,2.5369512464151778,704,703.5,10-Sep-2026,,
