Symbol,Series,Open,High,Low,Prev. Close,LTP,%change,Volume,Value,Direction
ALKALI,EQ,73.06,87.66,72.05,73.05,87.66,20,131957,111.0286198,gainer
ASTAR,EQ,807.3,807.35,760.35,672.8,807.35,20,13579,109.0651701,gainer
MONQ50,EQ,349.99,396.3,330.26,330.25,396.3,20,2194397,8557.9288603,gainer
MASPTOP50,EQ,108,124.59,106.42,103.83,124.58,19.98,4115542,4875.2710532,gainer
SHIVAMAUTO,EQ,16.7,19.42,16.7,16.19,19.42,19.95,291079,55.9744917,gainer
GLOBE,EQ,1.79,2.1,1.75,1.78,2.1,17.98,2024812,38.6739092,gainer
MANUGRAPH,EQ,15.04,18.22,15.04,15.19,17.77,16.98,480859,85.9775892,gainer
LPDC,EQ,6.3,7.32,6.14,6.1,7.02,15.08,265735,18.2559945,gainer
TIMEX,EQ,613.05,716,613.05,611.1,699.7,14.5,5551308,38567.71233,gainer
RUSHIL,EQ,15.83,18.3,15.35,15.57,17.7,13.68,1608355,272.93784350000004,gainer
SAMBHV,EQ,129.08,147.48,129.08,129.09,145.99,13.09,21220089,30444.461688299998,gainer
ATGL,EQ,587.4,674.8,587.4,587,663.1,12.96,33475499,217932.1935898,gainer
JETFREIGHT,EQ,19.4,22.1,18.4,19.43,21.65,11.43,1303952,273.17794399999997,gainer
NRBBEARING,EQ,474,534.9,472.6,472.2,524.5,11.08,8874544,46416.5274832,gainer
GRAUWEIL,EQ,83,88.53,82.25,79.09,86.49,9.36,13485151,11717.2477039,gainer
ALUFLUOR,EQ,494.85,542.5,494.85,492.2,537.55,9.21,24634,129.9394232,gainer
DEEPA,EQ,175.3,191.49,171.38,173.34,189.21,9.16,6778999,12512.6763542,gainer
TALBROAUTO,EQ,442,478,437.5,435.2,474.75,9.09,1663809,7774.6466952,gainer
AVALON,EQ,2236.2,2479.8,2218.3,2230,2430.5,8.99,2283473,55318.7318561,gainer
MACPOWER,EQ,1930.1,2149,1930.1,1921.6,2090.2,8.77,202926,4229.2822289999995,gainer
SBGLP,EQ,26.52,26.59,22.5,25.78,22.9,-11.17,431694,104.9879808,loser
TATACHEM,EQ,729,741.35,695.05,779.3,698.6,-10.36,11353291,81002.32529770001,loser
ATALREAL,EQ,14.29,16.02,14.29,15.87,14.29,-9.96,17675588,2633.662612,loser
LCCPROJECT,EQ,159.63,163.7,153.09,170.1,155.39,-8.65,11020036,17114.115908,loser
OPTIFIN,EQ,14.99,14.99,13.8,15.13,14,-7.47,41240,5.83546,loser
STLSTRINF,EQ,26,26.9,23.3,25.15,23.3,-7.36,26259,6.4282032,loser
PANSARI,EQ,280,280,270,290,270,-6.9,19,0.0526984,loser
STEAMHOUSE,EQ,100.7,106,95.01,102.55,96.4,-6,21863483,22051.508953800003,loser
FILATFASH,EQ,0.19,0.19,0.17,0.18,0.17,-5.56,15279487,27.5030766,loser
RELAXO,EQ,314.25,315,290.1,313.7,293,-6.6,956022,2836.4216718000002,loser
BOHRAIND,EQ,13,13.88,12.41,13.34,12.61,-5.47,26697,3.4065372,loser
AHLADA,EQ,38.9,39.64,37.2,39.33,37.23,-5.34,6340,2.4009579999999997,loser
ZYDUSWELL,EQ,548,552.9,514.4,546.15,517.6,-5.23,497310,2635.146228,loser
MODTHREAD,EQ,49.21,50.35,47,50.35,47.79,-5.08,4099,1.9613715,loser
ICDSLTD,BE,58.8,58.8,55.86,58.8,55.86,-5,5818,3.2889153999999996,loser
ESDS,EQ,1565,1594,1564.55,1646.85,1564.55,-5,578240,9073.16384,loser
VEEGALAND,BE,154,154,146.3,140,146.3,4.5,4910761,7428.508164700001,loser
ONIXSOLAR,EQ,357.4,357.4,357.4,376.2,357.4,-5,4322,15.446828,loser
MEDICAMEQ,BE,344.7,344.7,328.05,346.3,328.05,-5.27,28926,95.56571880000001,loser
AMDIND,BE,66,66,63.26,66.58,63.26,-4.99,17218,10.9230992,loser
