Symbol,Series,Prev. Close,LTP,%change,Upper Band,Volume,Value
LALITHAA,EQ,290.4,304.9,   4.99,5,84.56069,248.51541184099997
TBZ,EQ,574.85,603.55,   4.99,5,14.3327,86.19542453
THANGAMAYL,EQ,4811.0,4992.5,   3.77,5,1.21824,60.937095744000004
HLEGLAS,EQ,415.65,447.6,   7.69,10,9.41154,41.89547031
CMRGREEN,EQ,213.26,231.65,   8.62,10,16.40103,37.774852296
BODALCHEM,EQ,182.13,191.23,   5.00,5,16.36286,31.027255132
HEG,BE,225.8,237.05,   4.98,5,9.20707,21.749861461000002
CORDELIA,EQ,109.68,115.06,   4.91,5,17.56101,20.137210167
DEEDEV,EQ,636.95,668.75,   4.99,5,2.86617,19.094997774
SUDEEPPHRM,EQ,1105.4,1160.6,   4.99,5,1.51241,17.283367757
GVPIL,EQ,624.9,656.1,   4.99,5,1.27075,8.2608916
WAAREEINDO,EQ,258.8,271,   4.71,5,2.70057,7.253460962999999
VALIANTORG,BE,408.45,426,   4.30,5,1.5611,6.668863089999999
PRIORITY,BE,221.17,230.9,   4.40,5,2.08001,4.751574843999999
STLNETWORK,EQ,40.91,42.95,   4.99,5,11.03909,4.741289155
QUINT,EQ,63.66,65.11,   2.28,10,6.34,4.373966
WEL,EQ,69.47,72.94,   4.99,5,5.41247,3.873163532
SAHASRA,SM,320.1,336.1,   5.00,5,1.088,3.6218432
KAMDHENU,BE,39.1,41.05,   4.99,5,8.42383,3.4032273200000005
GAYAPROJ,EQ,23.62,24.8,   5.00,5,12.27895,3.016938015
ACSTECH,BE,63.0,66.1,   4.92,5,4.30078,2.8402351120000002
VETO,BE,132.53,139.15,   5.00,5,1.88143,2.591293539
KSHITIJPOL,EQ,4.01,4.21,   4.99,5,61.66946,2.59011732
ASHUTOSH,ST,148.6,154.1,   3.70,5,1.5,2.32215
BHAGERIA,BE,318.85,334.75,   4.99,5,0.62249,2.080921821
SALSTEEL,EQ,78.35,82.26,   4.99,5,2.4908,2.03348912
TIRUPATIFL,BE,64.48,67.7,   4.99,5,2.98973,1.998634505
VALIANTLAB,BE,122.75,124.15,   1.14,5,1.51936,1.935968512
SEJALLTD,EQ,681.7,695.05,   1.96,5,0.26259,1.845298707
SOFTTECH,EQ,500.7,524.8,   4.81,5,0.34028,1.785517216
RAMASTEEL,BE,4.11,4.28,   4.14,5,40.16269,1.6988817870000001
QMSMEDI,BE,168.92,177.36,   5.00,5,0.86166,1.516176936
BGRENERGY,BE,243.45,255.62,   5.00,5,0.5908,1.5041768
TAURIAN,ST,492.65,517.25,   4.99,5,0.272,1.3932656
