Symbol,Series,LTP,%change,Prev Week Avg Vol,Week Avg Vol,Volume Spurt %,Volume,Value
NIFTYBETA,EQ,259.74,0.32,31044,35029,77.72062234248163,2412759,6255.80153
BBTC,EQ,1480.5,5.8,33080,42160,64.20256952841596,2123821,31675.7283
ATGL,EQ,662.65,12.89,525614,530622,63.86621784571269,33568991,218554.2728
ASTAR,EQ,807.35,20,395,207,34.30773117736231,13579,109.06517
ABCOTS,EQ,209.65,-0.56,6465,5703,33.77354988399072,218346,470.49196
MANUGRAPH,EQ,17.73,16.72,15508,12947,31.331729901214825,485905,86.87981
SKYWAYS,EQ,124.22,5.29,2792316,5392531,30.315365407731015,84650092,109952.00449
TIMEX,EQ,698.85,14.36,243462,343063,22.83472109040246,5559396,38624.45964
GPTINFRA,EQ,117.3,3.29,134024,176819,19.98398048110786,2678333,3209.1786
GRAUWEIL,EQ,86.27,9.08,789079,501775,17.110458620630222,13501507,11731.45943
NRBBEARING,EQ,524,10.97,659709,537950,13.471442586253103,8887240,46482.93137
SHIVAMAUTO,EQ,19.42,19.95,23830,32565,12.243776960907732,291779,56.1091
SAMBHV,EQ,145.9,13.02,1808946,1801972,11.800112839151803,21345774,30626.91653
LPDC,EQ,7.06,15.74,23563,48115,11.295037302981692,266154,18.28477
COMPUSOFT,EQ,13.66,5.56,26394,26529,10.947535120554049,288958,40.36743
QUINT,EQ,66,3.68,64032,35163,9.867817330547252,631862,435.98478
HAZOOR,EQ,19.67,6.04,210619,524470,9.076830675295202,1911753,365.33599
OMNI,EQ,559.95,-1.53,634402,588389,9.030661946210762,5729070,32122.32258
GNA,EQ,559.15,4.21,230610,225375,8.345602200764231,1924586,10894.88888
GYFTR,EQ,173.21,-1.65,25209,29627,7.488218586865113,188772,323.46082
WHBRADY,EQ,475,-2.46,11,49,7.478260869565218,86,0.41121
ALKALI,EQ,87.66,20,18141,76109,7.273884858774502,131957,111.02861
SAB,EQ,174.15,-0.02,4,94,7.25,29,0.0505
TALBROAUTO,EQ,474.05,8.93,252017,346588,6.608123089913633,1665362,7782.07008
GLOBE,EQ,2.1,17.98,326680,351557,6.457486941381312,2109537,40.29215
